75-12-7	0	C(=O)N
10016-20-3	0	C(C1C2C(C(C(O1)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(O2)C(C7O)O)CO)CO)CO)CO)CO)O)O)O
58-89-9	1	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl
26761-40-0	0	CC(C)CCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC(C)C
74-83-9	1	CBr
3194-55-6	0	C1CC(C(CCC(C(CCC(C1Br)Br)Br)Br)Br)Br
133-06-2	1	C1C=CCC2C1C(=O)N(C2=O)SC(Cl)(Cl)Cl
7553-56-2	0	II
77182-82-2	1	CP(=O)(CCC(C(=O)O)N)O
79-57-2	0	CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O
88-85-7	0	CCC(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])O
29091-21-2	1	CCCN(CCC)C1=C(C=C(C(=C1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-]
66841-25-6	1	CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C(C(Br)(Br)Br)Br)C
111-42-2	1	C(CO)NCCO
24157-81-1	1	CC(C)C1=CC2=C(C=C1)C=C(C=C2)C(C)C
101200-48-0	1	CC1=NC(=NC(=N1)OC)N(C)C(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC
